apple_id,dataset,harvest,SACCBaum,Location,PL.Code,Sorte,area_top,area_side1,area_side2,perimeter_top,perimeter_side1,perimeter_side2,width_top,width_side1,width_side2,height_top,height_side1,height_side2,up_ratio_top,up_ratio_side1,up_ratio_side2,down_ratio_top,down_ratio_side1,down_ratio_side2,diago_ratio_top,diago_ratio_side1,diago_ratio_side2,compactness_top,compactness_side1,compactness_side2,solidity_top,solidity_side1,solidity_side2,roundness_top,roundness_side1,roundness_side2,convexity_top,convexity_side1,convexity_side2,rectangularity_top,rectangularity_side1,rectangularity_side2,ellipticity_top,ellipticity_side1,ellipticity_side2,aspect_ratio_top,aspect_ratio_side1,aspect_ratio_side2,stem_calyx_ratio_top,stem_calyx_ratio_side1,stem_calyx_ratio_side2,max_width_height_ratio_top,max_width_height_ratio_side1,max_width_height_ratio_side2,symmetry_top,symmetry_side1,symmetry_side2,R_top,R_side1,R_side2,G_top,G_side1,G_side2,B_top,B_side1,B_side2,L_top,L_side1,L_side2,a_top,a_side1,a_side2,b_top,b_side1,b_side2,R_std_top,R_std_side1,R_std_side2,G_std_top,G_std_side1,G_std_side2,B_std_top,B_std_side1,B_std_side2,L_std_top,L_std_side1,L_std_side2,a_std_top,a_std_side1,a_std_side2,b_std_top,b_std_side1,b_std_side2,dissimilarity_top,dissimilarity_side1,dissimilarity_side2,correlation_top,correlation_side1,correlation_side2,homogeneity_top,homogeneity_side1,homogeneity_side2,contrast_top,contrast_side1,contrast_side2,energy_top,energy_side1,energy_side2,entropy_top,entropy_side1,entropy_side2,Loc,place
11.93.0.108_001_20210906_0754_35,Loc_1_2021,2021,11.93.0.108,Loc_1,14-001-1118,unbekannt_1118,169500.5,185505.25,185204.75,1470.9785206317902,1549.3916182518005,1553.187355518341,469.0,502.0,504.0,470.0,452.0,453.0,0.5181236673773987,0.7290937687416346,0.7202636147822699,0.6268656716417911,0.6352515499704106,0.6399331514485822,0.9908536585365854,0.999888281530543,0.9974144535240042,0.9843922487264902,0.9708121055880221,0.9644338307380137,0.9982302813293208,0.9978257431905226,0.9970151202856736,0.9941435432958524,0.9808799032437816,0.9743195373433611,0.995083544721355,0.9948571714853702,0.9949124902500148,0.7689538629043233,0.8174224687121548,0.8110956976815553,0.9773288973692389,0.9081080246725266,0.902793949188324,1.0021321961620469,0.9013221912868031,0.8986878314377162,0.7449664429530202,1.0988343856240894,0.7966870776511917,0.4851063829787234,0.5365981399902104,0.5196303160358955,0.9680422864280922,0.9421656371427825,0.9165435664694045,131.6030681235097,122.64958740800314,116.33221048921664,132.8080875916815,112.52530969743253,109.0514294234862,81.05983821798316,75.27435171355775,73.20161716663729,138.2659216443814,121.01121195942339,116.92875587968172,119.24677039630558,126.20284590483013,125.11029401797454,155.68641906371676,150.0942845364169,149.04255737349365,15.015337101033404,13.893899387917546,12.559342060170348,14.900207343987056,17.300310620250862,18.069484964925334,7.7454929848122225,9.487233163163905,10.248457142358172,14.609662618378888,16.152810809045455,16.493038246535694,2.4184237766573213,3.9158502946468845,4.927784505845818,4.8746268202359415,4.359749198959838,4.18977066826759,0.23429429429429424,0.21593879593879592,0.19770556270556267,0.996669091950789,0.9965807871042538,0.9962940744503098,0.9447229995286947,0.9445597162336999,0.9486705231368309,9.27201487201487,7.920472615472615,8.21896896896897,0.9049575648213043,0.8939324773150483,0.8942403984732502,1.2940926704283864,1.4172546906825496,1.3866802331259434,Loc_1,11
11.93.0.108_002_20210906_0754_46,Loc_1_2021,2021,11.93.0.108,Loc_1,14-001-1118,unbekannt_1118,162582.5,187428.75,191613.25,1440.1059317588806,1550.4543760418892,1569.894124031067,459.0,492.0,481.5,450.0,469.0,497.0,0.6252723311546841,0.694563757002005,0.5940309388642521,0.599128540305011,0.6299840840033899,0.677020602902352,1.0124610591900312,1.014596394984326,0.9987362637362638,0.985132808460208,0.9791662726617745,0.9767338761160502,0.9980080659517393,0.9979392912909526,0.9974365021494195,0.9955409139948921,0.988964601125813,0.9862746903877211,0.9947589034291799,0.9950334561965721,0.9951514416174552,0.7871338658920358,0.8119152908916598,0.8004878512499016,0.9840176642667933,0.9267972339203938,0.9795935422663709,0.9803921568627451,0.9532193720415882,1.032112228875123,1.183206106870229,1.1975949608703953,0.7117286392405063,0.45111111111111113,0.5324215622042658,0.47588365839434976,0.976987549052856,0.9287560280347007,0.9668618721634973,120.27601235793887,111.0256838728005,115.00793057156949,122.86939833861383,98.41189445716292,104.8289668372763,77.26510458536278,67.54811089016259,71.95150200714012,128.24856953705017,107.46926123356116,113.37295570573268,119.46689837802052,128.26375014621593,126.96980960748897,152.5767721189767,147.3630900857243,147.95150853973615,13.74301411161829,10.105762705599437,12.262197756512737,17.250303754364467,17.84050548629593,17.028532539514472,9.261012217446257,7.837223027152424,12.50234955447277,16.289243690638994,15.768131196054616,15.71454971824887,3.6873265026766835,5.868516328706759,4.2718153262806196,4.344646470614901,4.670222576911214,3.510483797104482,0.21470756470756472,0.1923030173030173,0.20007507507507508,0.9965150618865756,0.9961850319107811,0.9960671277625471,0.9486064525411698,0.949448652416047,0.9492369921907788,7.99979121979122,7.271547261547262,8.365715000715001,0.9090012212758939,0.8927635705329151,0.8902674800549863,1.2591751393334152,1.3787542001402016,1.4045534687322698,Loc_1,11
11.93.0.108_003_20210906_0754_59,Loc_1_2021,2021,11.93.0.108,Loc_1,14-001-1118,unbekannt_1118,172555.5,172002.0,167182.25,1482.6671679019928,1510.0010229945183,1482.5412724018097,474.0,514.5,511.0,469.0,406.5,405.5,0.580168776371308,0.7755158730158731,0.7430800586925956,0.6033755274261603,0.616111111111111,0.5910712164921597,0.987987987987988,0.9964816614476478,1.021962647848315,0.9863960606094153,0.9478794917583264,0.955240697938563,0.9982211346557679,0.9936677250331922,0.9969732776512461,0.995764682699137,0.9596921909265304,0.966163093941751,0.9952846477539702,0.9938269143913296,0.9943324740442924,0.7762071199157917,0.8223510193500116,0.8065337094876475,0.9901036909749402,0.7745625912191857,0.7817074864320384,0.989451476793249,0.7902380952380952,0.7933672003402025,0.9568345323741008,1.18521421107628,1.273410799726589,0.4968017057569296,0.551167520063914,0.5426756516551614,0.9732390033835743,0.9417661385390184,0.9422914227796468,113.759102958877,108.34061297882062,107.20329984449798,103.70437074942957,96.42078733658565,97.3453097844315,70.41855519372632,66.54016639891523,67.2872747507394,112.32555031272383,105.47496646966057,105.86961078757203,126.72270589190906,128.21177541304957,127.11299051742537,148.23049998892358,146.88789812672258,146.59343461292193,12.276015724158587,9.247225351255507,8.915273452435152,17.056263314652075,9.22264604688447,14.573340354835503,7.814177284917825,7.007871208057669,6.541439127154287,15.26494498266113,9.110446624216634,12.587197400465257,6.559886217571769,2.26192329985379,6.430161215384828,4.426350625903561,2.475242846359579,4.24568243460217,0.21782353782353786,0.168007293007293,0.15116545116545116,0.9963794999562323,0.9964697364456545,0.9965281758018316,0.9458364113051398,0.9543302516023462,0.9585048715475385,6.8385556985557,5.701662376662377,5.608462748462749,0.9028839928614829,0.9027613116705654,0.9059742535447157,1.3268284742719207,1.200590403483207,1.185650973345409,Loc_1,11
11.93.0.108_004_20210906_0755_11,Loc_1_2021,2021,11.93.0.108,Loc_1,14-001-1118,unbekannt_1118,191235.5,206743.25,219897.75,1560.8899807929993,1629.0508745908737,1684.0763673782349,485.0,513.0,538.5,511.0,510.0,505.0,0.6185567010309279,0.702315369261477,0.7706563080257609,0.5443298969072164,0.5570402053036784,0.5432246619406231,0.9914285714285714,0.9933875250556587,0.9944903956959625,0.986356234171767,0.9786178019512024,0.9736524272631715,0.9982825627921667,0.9977526635241316,0.9977891630814877,0.9950504013579528,0.9874291574365552,0.9818908926971133,0.9956217083420532,0.9955276757053912,0.9957958980645771,0.771624266144814,0.7899133237662646,0.8080465541605003,0.9501835148517118,0.9665597860528248,0.9343492095383896,1.0536082474226804,0.9941944682064443,0.9379793057271641,1.290909090909091,1.1339285714285714,2.3568239795918364,0.49706457925636005,0.5436727581843148,0.561674198914101,0.9806400346745647,0.9426152930904848,0.9719304836137991,108.33903147030364,105.77860062515028,104.72499538221284,103.2069957412076,92.04022902139937,86.64786434340664,70.90252828772849,66.87093952873286,66.43150002518793,110.60021326873836,101.63739180091368,97.21811907733814,124.76146813146306,129.7447703774946,132.32543085353498,146.94039665352386,144.6394295503727,142.55814213828734,12.970865396826357,8.778770256534864,9.752392866233413,20.795531130512313,10.169998226286868,17.82153170603424,8.701198418796377,7.42440930000169,8.234343086880886,18.514278994563544,9.892656390740019,15.666814074478546,7.415519060363892,2.6616257058046418,6.4977599557233265,5.720356291414624,2.549830532444262,4.31975303151531,0.22872014872014873,0.20309237809237807,0.19160160160160153,0.9964158625207208,0.9963283732392452,0.9964161375975864,0.941621735209337,0.9445598428663199,0.9457387099242569,7.298522808522808,6.5618096668096655,6.548871013871011,0.8910616353809411,0.8807866957212308,0.8719963161269382,1.472852292023929,1.4458239137956923,1.5684032230168805,Loc_1,11
11.93.0.108_005_20210906_0755_26,Loc_1_2021,2021,11.93.0.108,Loc_1,14-001-1118,unbekannt_1118,191479.0,200311.0,200609.0,1563.9051365852356,1606.5612463355064,1609.6077593564987,495.0,532.5,530.0,499.0,475.5,469.5,0.5838383838383838,0.6070833891895324,0.670642835771987,0.5777777777777777,0.6387679651175097,0.6324245964467367,0.9605633802816902,1.0094904359947339,1.0014879603613402,0.9838076665752699,0.9749025839812779,0.972207967064405,0.9982743339763307,0.9977501499397948,0.9973794789770487,0.9929484965095665,0.9840747623770121,0.9811845314014438,0.9953864856063881,0.9953285736784875,0.9954144292903182,0.7752029311147548,0.791776634016766,0.8060324178715015,0.9505499686697362,0.884830080048981,0.8824037548251045,1.0080808080808081,0.8925215016968525,0.8854272036928863,0.8936170212765957,0.7470858895705521,1.1462249123924817,0.48096192384769537,0.48345358494579815,0.5216217444661606,0.9353080998328063,0.9386210476161401,0.9730788920313652,113.27180275527701,109.46509360495904,112.32270036119006,109.5693582188586,98.67998317914214,96.09169386969852,72.20163976428388,68.68913808678316,70.05339965494558,116.58053305478363,107.47851602653958,106.50908870877655,123.37937943856468,127.54281842818428,130.61793290056724,149.31854523476352,146.68493287231723,145.4539513696675,12.902918985976289,10.052036732397786,10.613629142531668,19.188728362418686,17.084105975168228,13.708648489013843,6.991081794049443,10.577200263793026,11.139674257087327,17.23152752209803,14.824295001723291,12.872047585369822,6.594721867174886,6.940437024496861,3.0142917621979946,6.032750999367958,4.189963777461248,3.003844799006349,0.2365651365651365,0.2215973115973116,0.20336908336908338,0.996700018414515,0.9963644022239015,0.996319942911124,0.9400120810586872,0.9416820696222158,0.9451979389124956,7.4182353782353765,7.329854854854855,7.312527527527528,0.8908589321824798,0.884959529558548,0.8845530916348501,1.4671508212123747,1.4809215135165918,1.4141822730771554,Loc_1,11
11.93.0.108_006_20210906_0755_36,Loc_1_2021,2021,11.93.0.108,Loc_1,14-001-1118,unbekannt_1118,184399.5,195356.5,186340.25,1536.6480076313019,1592.8125706911087,1551.451862692833,494.0,528.0,509.5,481.0,459.0,462.0,0.5850202429149798,0.706874282433984,0.7028597409202648,0.6133603238866396,0.6052095292766935,0.5589730054636386,0.9060773480662984,1.00413132609308,0.9971959858323496,0.981342954329138,0.9675464172318915,0.9724702535695979,0.9980623249394477,0.9970952901693277,0.9973791020654021,0.9916042738503186,0.9787375975257658,0.9825229154401097,0.9948124445462068,0.99426875820841,0.9948717399217084,0.7760464450747852,0.8059965443617376,0.7913000385448794,0.8999054268708322,0.8660715676118178,0.8899163083172485,0.9736842105263158,0.8694890929965557,0.9067655875530759,0.8767123287671232,1.211709224752703,1.0910752025361043,0.5135135135135135,0.5184592747294474,0.5520419878628834,0.875831103543339,0.9464388721242049,0.924705052979555,105.33328995047505,102.61598880310855,102.23434450529784,97.3549699630789,87.97699588424766,87.83805603765558,71.25373492160261,68.22003617260596,68.6353162838755,105.61320528540213,97.76965846924689,97.6848135117066,126.91034133176241,130.83832890229561,130.8520451920934,144.08200045209506,141.7250754128534,141.40960230687674,10.116043066917296,8.415036866585323,7.700288980467625,18.592951635073614,11.585792593620525,9.471748692281116,7.667252628517517,6.4459594742005155,5.761447967029869,15.9982608514154,10.401825839826651,8.86107845395499,7.852219389268381,5.2438146132219785,3.8508614292439765,4.65633110835681,2.7359382420522014,2.5497168894445545,0.21304733304733303,0.18936007436007438,0.1672150722150722,0.9967442207450217,0.9964382039000126,0.996323324674478,0.9440037950066013,0.9473978233951361,0.9539383919200342,5.832057772057772,5.701012441012441,5.76052338052338,0.8953276371612878,0.887884811068566,0.893901585439494,1.397359400552767,1.3678275127146793,1.25614652729261,Loc_1,11
11.93.0.108_007_20210906_0755_48,Loc_1_2021,2021,11.93.0.108,Loc_1,14-001-1118,unbekannt_1118,214462.5,221957.5,234615.25,1738.0255967378616,1690.3664383888245,1739.7432479858398,517.0,548.5,572.5,539.0,503.5,514.5,0.5570599613152805,0.6518105293953378,0.6245304626660559,0.5764023210831721,0.6520615300735382,0.655367231638418,1.0276243093922652,0.9990811422109133,1.0010781048456963,0.8921726217647379,0.9757934927443072,0.9734595004922024,0.996522017926593,0.9976522256105333,0.9973732650673826,0.9905356933468927,0.983960314627468,0.9816673603462855,0.9490506284050356,0.9958407358057728,0.9958105814330669,0.7696123992062096,0.8043050957982057,0.7961534783808704,0.9589777533323833,0.9147453195394855,0.889622344266229,1.0425531914893618,0.917568717669118,0.8989158650175599,0.9609375,0.7906186612576065,0.875031525851198,0.5417439703153989,0.5067567567567568,0.5028271436022647,0.9606683734363469,0.9519044757539113,0.9498505530030132,108.75815922357083,108.93684872912954,109.29757539855478,104.35637681830816,103.43862426088813,102.71370600500526,71.54622208839062,70.38929746602095,71.87154126989512,111.58388538867784,110.96337775165841,110.57398935795426,124.22727114796628,124.67587743979686,125.44145700514356,147.07866788659317,147.46906749238366,146.4050553631683,12.452428472624812,10.12367393627275,8.91796116384273,14.518840149034324,12.029126359943051,10.852640400463413,7.145159518522443,8.42469642565814,9.066711245577515,13.828334897448572,11.109028785971192,9.972719165632785,4.327843126321707,4.302957120283317,4.254356082670889,4.361437162118628,3.13899362992167,2.6536354921122007,0.27400972400972395,0.2572014872014872,0.24350135850135857,0.9965071899123803,0.996595730925681,0.9966260683371428,0.9300868551008338,0.9315798011519312,0.9328433235528619,7.991557271557271,7.960755755755756,8.147242957242957,0.8762010173123485,0.8707626452753738,0.8627482061883374,1.6330161693672085,1.6113962526697976,1.6499514201478596,Loc_1,11
11.93.0.108_008_20210906_0756_00,Loc_1_2021,2021,11.93.0.108,Loc_1,14-001-1118,unbekannt_1118,191877.0,181278.5,196502.75,1564.1485362052917,1541.7028865218163,1596.1716035604477,482.0,522.5,544.5,505.0,449.5,451.0,0.5912863070539419,0.5472330306960658,0.6693337158672832,0.6286307053941909,0.6176529857035034,0.6106828231005501,1.0143266475644699,1.0064614802976406,1.006576024171332,0.9855457705336614,0.9582549520372003,0.9690410150831876,0.9983376388227673,0.9969385009484679,0.9976366359132472,0.9945423693831539,0.9678752863678326,0.9779016096821975,0.9954667405776996,0.9950174094001851,0.9954603997677833,0.7882872519617107,0.7717779256805175,0.8001805241775692,0.9539272541872057,0.8078310829383503,0.818256214790345,1.0477178423236515,0.8603435262737511,0.829017450298714,0.9645390070921985,0.8787084127993219,1.1506250970647616,0.4752475247524752,0.5038189288189288,0.5276215387035872,0.9755256949430711,0.8355917071100651,0.9443452230051781,112.12193256546693,108.46102388362415,111.65959253241076,99.1136568656931,96.72318075322586,101.19496373366744,74.0670423198107,72.79977620030073,75.90512244060811,108.67178940762724,105.89705563520648,110.1024424524372,129.19225640288147,128.89246774137146,128.13913806645277,144.16793918079725,143.4152813232157,143.8544513306135,13.011103087961812,12.508076171258022,11.738104870891277,18.328163464069426,17.485442663510643,10.769741153167534,10.19757827435725,9.800339455584709,8.27780931939522,16.635784400230904,16.155297586891816,10.842857388770225,6.453694716624851,5.321784705986338,3.131226505247435,4.276212335326702,4.147072156551056,2.5554825300105533,0.2488888888888889,0.20166023166023164,0.20097812097812096,0.9960679776073308,0.9962495632633621,0.9966824970503634,0.9381534282273831,0.9472738590114829,0.9459387432629389,7.879413699413699,6.621713141713141,6.765775060775061,0.8903087481610179,0.8975001970758534,0.8873246823477561,1.492011948695825,1.3592871058309093,1.4133477183851464,Loc_1,11
11.93.0.1093_001_20210906_0752_01,Loc_1_2021,2021,11.93.0.1093,Loc_1,14-001-1118,unbekannt_1118,175164.5,186503.25,178695.5,1495.0069360733032,1557.2270005345345,1805.2417641878128,479.0,516.0,502.5,471.0,448.0,493.0,0.592901878914405,0.7099971823048746,0.3773000904173474,0.569937369519833,0.6213299520991828,0.6235902032010914,1.018181818181818,0.9971988795518207,1.0044540824590134,0.9848487604352454,0.9664700318056997,0.6887334303760996,0.9983471498308678,0.9971092729408674,0.9513647952244195,0.9942642383311812,0.9767954036443168,0.9186071691342881,0.9952538397918645,0.9947023523770544,0.8663009949123204,0.7764074128248429,0.8067976509660539,0.7297280869560563,0.9804296066335331,0.8705867747715792,0.9026201197127195,0.9832985386221295,0.8684136376444069,0.9862410970638156,1.3421052631578947,1.1269579398490537,0.713289940253558,0.49469214437367304,0.5255655206776283,0.4753375356258711,0.9680354564684551,0.9428232451573424,0.9218080787258246,103.45933604837714,107.58613390230933,107.67882650610127,96.34671980602681,97.75812237919916,102.66939969466952,69.57092144521637,69.39631893168922,72.20069606806948,104.28353333188144,106.45497102395488,110.13701082179448,126.38725671682964,127.36926116133027,124.93992320476002,144.37206989422944,145.66743173297615,145.94650311202213,8.558243593800492,8.196429867586769,6.364384872097675,15.875072012912584,11.85409352074498,9.885121920618314,7.682480062377063,7.443252726489231,5.377133679605691,13.82654273342237,10.647401730504752,8.41997397281697,6.4269529348632926,4.5453052398757166,4.861673103303567,3.8360167130474796,2.8385368636117874,3.582761266954595,0.19230945230945223,0.18724724724724723,0.17389031889031892,0.9961072566520545,0.9963632367814341,0.9964591801584841,0.9501490444240595,0.9496859741453195,0.9536548352750096,6.406427856427855,6.570005720005719,6.373865293865294,0.9012246098425812,0.8935250266075812,0.8993028759789206,1.295339355805922,1.32627094292805,1.2234405188139512,Loc_1,11
11.93.0.1093_002_20210906_0752_11,Loc_1_2021,2021,11.93.0.1093,Loc_1,14-001-1118,unbekannt_1118,173862.0,188084.5,190880.75,1489.0729036331177,1561.714238166809,1572.4378402233124,465.0,494.5,499.0,471.0,462.0,460.0,0.6021505376344086,0.7219085262563524,0.7642240322755639,0.6279569892473118,0.6749482401656315,0.6507492254587977,1.0029850746268656,1.0038535871614906,0.9971188282469619,0.9853320590126828,0.9682141110763932,0.9699130370952381,0.9982258814613225,0.9967125421129668,0.9974402513265458,0.9954110584524004,0.9780848206422341,0.9790293578962299,0.9949243867727176,0.9949387643880405,0.9953342675554228,0.7938360386274913,0.822442543086708,0.8314766435551115,0.9898954761795457,0.9373710486150236,0.9337754142797792,1.0129032258064516,0.9343120647468474,0.9221360058186027,0.910958904109589,0.724391776640632,1.3111772486772488,0.49469214437367304,0.5079308534573271,0.5541533735082123,0.9591822988583167,0.9245900598776897,0.9722554468874139,102.53253492139949,105.787927029084,105.48278249284033,99.90491307965144,102.70167537979374,96.87623314578306,68.40379647063975,71.04817090801531,70.71841660979202,106.68967027192714,109.73583438300757,105.19370144565015,123.6894659251799,123.81538916603243,127.15608253953741,146.2559588971114,146.3569147221382,144.13921934238755,9.591520935882066,7.292719642996393,7.136872346186964,14.873084375812006,9.567842230145821,11.46386758114887,6.379674579043935,5.63589067980868,6.654877222328892,13.21257517906666,8.508042519506821,10.173846215076692,6.2081362167238865,4.420007407074839,4.287847784661804,4.817357952429743,3.3443766855035832,2.527407004792868,0.20224224224224227,0.20157157157157163,0.18473902473902476,0.9961707431687499,0.9965812111314498,0.9961782835600026,0.9480725887579055,0.9459244945078458,0.9501772886164487,6.480989560989562,6.575989560989561,6.767334477334478,0.9017475589759183,0.8921822168249258,0.8902733864252319,1.2915359214496935,1.327630644715605,1.3424086463232094,Loc_1,11
