source_file,Model,Eval_Domain,Phase,Fold,Img_Top1,Img_Top2,Img_Top3,Img_Top5,Apl_Top1,Apl_Top2,Apl_Top3,Apl_Top5,Old_Apple_MajVote,Old_Apple_MV_CI_L,Old_Apple_MV_CI_U,Balanced_Acc,Bal_Acc_CI_L,Bal_Acc_CI_U,Macro_F1,Macro_F1_CI_L,Macro_F1_CI_U,New_Field_Exact_MajVote_3,New_Field_Exact_MajVote_5
SAT_New_Models_Metrics_Raw_Folds.csv,SAT_resnet50_38_varieties_LOTO_Strict_2021_Loc_1_SGD_IMAGENET1K_V2_epochs300_batch128,in_domain,test,0,0.5803108808290155,0.7694300518134715,0.8480138169257341,0.917098445595855,0.738255033557047,0.8791946308724832,0.9261744966442953,0.9563758389261745,0.7013422818791947,0.6510067114093959,0.7550335570469798,0.6992481203007519,0.6525237390533444,0.7485062964426354,0.6883569789162913,0.6221076553294477,0.7268251883656025,0.8087406015037594,0.8472744360902255
SAT_New_Models_Metrics_Raw_Folds.csv,SAT_resnet50_38_varieties_LOTO_CV3_2021_Loc_1_SGD_IMAGENET1K_V2_epochs300_batch128,in_domain,test,0,0.7112616426756986,0.838272650296359,0.8899237933954276,0.9407281964436918,0.814935064935065,0.8961038961038961,0.9188311688311688,0.9675324675324676,0.8376623376623377,0.7953733766233766,0.8766233766233766,0.8322368421052632,0.7907514524948737,0.8657757556770713,0.8231290914029613,0.7722676230439349,0.852708184792709,0.9130639097744361,0.9375
SAT_New_Models_Metrics_Raw_Folds.csv,SAT_resnet50_38_varieties_LOTO_CV3_2021_Loc_1_SGD_IMAGENET1K_V2_epochs300_batch128,in_domain,test,1,0.7903364969801553,0.8990509059534081,0.9413287316652287,0.9784296807592753,0.9205298013245033,0.956953642384106,0.9768211920529801,0.9933774834437086,0.8940397350993378,0.8609271523178808,0.9238410596026491,0.8928571428571429,0.8616680687733319,0.9240955225330226,0.89021163734786,0.8442115560907418,0.9208075363221854,0.9640037593984964,0.9830827067669174
SAT_New_Models_Metrics_Raw_Folds.csv,SAT_resnet50_38_varieties_LOTO_CV3_2021_Loc_1_SGD_IMAGENET1K_V2_epochs300_batch128,in_domain,test,2,0.7741137675185491,0.8829348722176422,0.921681780708986,0.9596042868920033,0.8753993610223643,0.9297124600638977,0.9680511182108626,0.9808306709265175,0.8626198083067093,0.8210862619808307,0.8977635782747604,0.8596491228070174,0.8233073884534798,0.8901554800548609,0.8476269039471744,0.800862848770445,0.8757371374312682,0.9301378446115288,0.9551482873851294
SAT_New_Models_Metrics_Raw_Folds.csv,SAT_vit_b16_38_varieties_LOTO_CV3_2021_Loc_1_SGD_SWAG_E2E_epochs300_batch64,in_domain,test,0,0.8535139712108383,0.9458086367485182,0.9703640982218459,0.9839119390347163,0.948051948051948,0.9805194805194806,0.9837662337662337,0.9935064935064936,0.9318181818181818,0.9025974025974026,0.9577922077922078,0.9292763157894737,0.8999216917628295,0.9565382442849547,0.9291025972674698,0.8910249555141306,0.9526524444101638,0.987781954887218,1.0
SAT_New_Models_Metrics_Raw_Folds.csv,SAT_vit_b16_38_varieties_LOTO_CV3_2021_Loc_1_SGD_SWAG_E2E_epochs300_batch64,in_domain,test,1,0.8757549611734253,0.9559965487489215,0.9758412424503883,0.9930974978429681,0.9668874172185431,0.9867549668874173,0.9900662251655629,0.9933774834437086,0.9602649006622517,0.9370860927152318,0.9801324503311258,0.9591165413533836,0.9390614557226399,0.9782902568922305,0.9565565407018883,0.926093025215917,0.975954238969702,0.9859022556390977,0.9938909774436089
SAT_New_Models_Metrics_Raw_Folds.csv,SAT_vit_b16_38_varieties_LOTO_CV3_2021_Loc_1_SGD_SWAG_E2E_epochs300_batch64,in_domain,test,2,0.8680956306677658,0.9497114591920858,0.9736191261335532,0.9884583676834295,0.9361022364217252,0.9744408945686901,0.9936102236421726,0.9968051118210862,0.9329073482428115,0.9041533546325878,0.9584664536741214,0.930921052631579,0.9012612259816207,0.9580528024606971,0.928866059528435,0.8928887990007177,0.9532308923312985,0.9859022556390977,0.9985902255639098
SAT_vit384metrics_Metrics_Raw_Folds.csv,SAT_vit_b16_384px_38_varieties_LOTO_CV3_2021_Loc_1_SGD_batch64_SWAG_E2E_epochs300_batch64,in_domain,test,0,0.8831498729889924,0.9551227773073666,0.9779847586790855,0.9898391193903472,0.9577922077922078,0.9837662337662337,0.9902597402597403,0.9967532467532467,0.948051948051948,0.922077922077922,0.9707792207792207,0.9407894736842105,0.9137927916381864,0.9686145050125312,0.9426415302963291,0.9086441412184902,0.9655682183851693,0.9835526315789473,0.9736842105263158
SAT_vit384metrics_Metrics_Raw_Folds.csv,SAT_vit_b16_384px_38_varieties_LOTO_CV3_2021_Loc_1_SGD_batch64_SWAG_E2E_epochs300_batch64,in_domain,test,1,0.8912855910267472,0.9542709232096636,0.9818809318377912,0.993960310612597,0.9503311258278145,0.9933774834437086,0.9966887417218543,1.0,0.9536423841059603,0.9271523178807947,0.9735099337748344,0.9520676691729324,0.9273061441482494,0.9742699314574316,0.9513554810116647,0.9191530087943848,0.9728355154304709,0.9883458646616541,0.9973370927318296
SAT_vit384metrics_Metrics_Raw_Folds.csv,SAT_vit_b16_384px_38_varieties_LOTO_CV3_2021_Loc_1_SGD_batch64_SWAG_E2E_epochs300_batch64,in_domain,test,2,0.8672712283594394,0.9521846661170651,0.9703215169002474,0.9868095630667766,0.9424920127795527,0.9744408945686901,0.9808306709265175,0.987220447284345,0.9329073482428115,0.9041533546325878,0.9584664536741214,0.9325657894736842,0.9029946077314499,0.9595739439653913,0.9297889727481256,0.8936873741388967,0.9558825049769769,0.9830827067669174,0.9971804511278194
SAT_vit384metrics_Metrics_Raw_Folds.csv,SAT_vit_b16_384px_38_varieties_LOTO_CV3_2021_Loc_1_SGD_SWAG_E2E_epochs300_batch32,in_domain,test,0,0.8628281117696867,0.9466553767993227,0.9686706181202371,0.9822184589331076,0.9415584415584416,0.974025974025974,0.987012987012987,0.9967532467532467,0.9285714285714286,0.8992694805194805,0.9546266233766233,0.9259868421052632,0.895357554006451,0.9574258069159386,0.9253634352200951,0.8883290108372393,0.9513879572052558,0.9854323308270678,0.9971804511278194
SAT_vit384metrics_Metrics_Raw_Folds.csv,SAT_vit_b16_384px_38_varieties_LOTO_CV3_2021_Loc_1_SGD_SWAG_E2E_epochs300_batch32,in_domain,test,1,0.8645383951682485,0.9404659188955996,0.9680759275237274,0.99137187230371,0.9403973509933775,0.9834437086092715,0.9900662251655629,0.9966887417218543,0.9437086092715232,0.9172185430463576,0.9668874172185431,0.9426691729323308,0.9122574903167009,0.9683605648737228,0.9417875854795357,0.9070185552758222,0.967039153745422,0.9928571428571429,1.0
SAT_vit384metrics_Metrics_Raw_Folds.csv,SAT_vit_b16_384px_38_varieties_LOTO_CV3_2021_Loc_1_SGD_SWAG_E2E_epochs300_batch32,in_domain,test,2,0.8458367683429514,0.9249793899422918,0.955482275350371,0.9876339653751031,0.9233226837060703,0.9776357827476039,0.987220447284345,1.0,0.9169329073482428,0.8849840255591054,0.9456869009584664,0.9181286549707601,0.8865013291863904,0.9482789779664779,0.9152511398763638,0.8743418291922719,0.9424506806381744,0.981954887218045,0.9906015037593984
